               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  55,            0.018864,           0.0092481,           0.0091824,             0.93629,             0.91107,             0.90444,             0.89827,            0.016605,           0.0080594,           0.0055346,           0.0004654,           0.0004654,           0.0004654
                  56,            0.018827,           0.0093136,           0.0089622,             0.93192,              0.9087,             0.90502,             0.90034,             0.01653,           0.0091973,           0.0055696,           0.0004555,           0.0004555,           0.0004555
                  57,             0.01839,           0.0090811,           0.0090551,             0.92915,             0.90859,             0.90436,             0.89786,            0.016842,           0.0085953,           0.0055373,           0.0004456,           0.0004456,           0.0004456
                  58,            0.018618,           0.0091464,           0.0092709,             0.92657,             0.90982,             0.90426,             0.89716,            0.016702,           0.0082986,           0.0055339,           0.0004357,           0.0004357,           0.0004357
                  59,            0.018681,           0.0091345,             0.00882,             0.93032,             0.90949,             0.90339,             0.89849,             0.01642,            0.008107,           0.0055179,           0.0004258,           0.0004258,           0.0004258
                  60,            0.018596,           0.0092227,           0.0086089,             0.93435,             0.90862,             0.90388,             0.89974,            0.016337,           0.0088397,           0.0055323,           0.0004159,           0.0004159,           0.0004159
                  61,            0.018205,           0.0093103,            0.008523,             0.93568,             0.91022,             0.90319,             0.89963,            0.016424,           0.0084766,           0.0055112,            0.000406,            0.000406,            0.000406
                  62,             0.01881,           0.0092313,           0.0088423,              0.9368,             0.91032,             0.90476,             0.90146,            0.016547,            0.008157,            0.005463,           0.0003961,           0.0003961,           0.0003961
                  63,            0.018605,           0.0087952,           0.0089356,             0.93692,             0.91171,             0.90493,             0.90144,            0.016455,           0.0079826,            0.005435,           0.0003862,           0.0003862,           0.0003862
                  64,            0.018836,           0.0092809,            0.008975,             0.93876,             0.91046,             0.90527,              0.9017,            0.016489,            0.008188,           0.0054449,           0.0003763,           0.0003763,           0.0003763
                  65,            0.018109,           0.0090981,           0.0092066,             0.93607,             0.90989,             0.90553,             0.90216,            0.016213,            0.008282,           0.0054483,           0.0003664,           0.0003664,           0.0003664
                  66,            0.018452,           0.0091814,           0.0086543,             0.93378,             0.90778,             0.90449,              0.9008,            0.016239,           0.0080049,             0.00546,           0.0003565,           0.0003565,           0.0003565
                  67,            0.018176,           0.0090491,           0.0089768,             0.93225,              0.9079,             0.90455,             0.90112,            0.016225,           0.0083693,           0.0054444,           0.0003466,           0.0003466,           0.0003466
                  68,            0.018202,           0.0092377,             0.00877,             0.93313,             0.90765,             0.90443,             0.90051,             0.01635,           0.0084939,           0.0054282,           0.0003367,           0.0003367,           0.0003367
                  69,            0.018187,           0.0089465,           0.0088802,             0.93373,             0.91079,               0.904,             0.89975,            0.016283,           0.0083941,           0.0054082,           0.0003268,           0.0003268,           0.0003268
                  70,            0.017924,           0.0087785,           0.0090333,             0.93438,             0.90918,             0.90444,             0.90026,            0.016166,           0.0083014,           0.0054005,           0.0003169,           0.0003169,           0.0003169
                  71,            0.018099,           0.0090156,            0.008699,             0.93466,             0.90899,             0.90475,             0.90021,            0.016239,            0.008257,           0.0053989,            0.000307,            0.000307,            0.000307
                  72,            0.017996,           0.0089587,            0.008486,             0.93402,             0.90861,             0.90481,             0.90072,            0.016238,           0.0079387,           0.0053968,           0.0002971,           0.0002971,           0.0002971
                  73,            0.017665,           0.0089686,           0.0088744,             0.93399,             0.90864,             0.90495,             0.90152,            0.016066,           0.0080156,           0.0053876,           0.0002872,           0.0002872,           0.0002872
                  74,            0.017649,           0.0091882,           0.0086215,             0.93576,             0.90759,             0.90467,             0.90117,            0.016005,           0.0077997,           0.0053707,           0.0002773,           0.0002773,           0.0002773
                  75,            0.017643,           0.0088486,           0.0088213,             0.93791,             0.91101,             0.90532,             0.90131,            0.016024,           0.0076034,           0.0053389,           0.0002674,           0.0002674,           0.0002674
                  76,            0.017821,           0.0088789,           0.0088827,             0.93789,             0.91082,             0.90649,             0.90127,            0.016088,           0.0076443,           0.0053199,           0.0002575,           0.0002575,           0.0002575
                  77,            0.017948,           0.0088133,           0.0085552,              0.9371,             0.90997,             0.90674,             0.90227,            0.016123,           0.0080164,           0.0053382,           0.0002476,           0.0002476,           0.0002476
                  78,            0.017869,           0.0087241,           0.0085597,             0.93697,             0.90886,             0.90674,             0.90209,            0.015974,           0.0078517,           0.0053378,           0.0002377,           0.0002377,           0.0002377
                  79,            0.017622,           0.0090127,           0.0089214,              0.9359,             0.90966,             0.90666,             0.90161,            0.016057,           0.0080626,           0.0053297,           0.0002278,           0.0002278,           0.0002278
                  80,            0.018389,           0.0091845,           0.0090119,             0.93593,             0.90846,             0.90623,             0.90201,            0.015908,           0.0077146,            0.005327,           0.0002179,           0.0002179,           0.0002179
                  81,            0.018113,           0.0090135,           0.0085908,             0.93701,             0.90979,             0.90634,             0.90277,            0.015864,           0.0074792,           0.0053165,            0.000208,            0.000208,            0.000208
                  82,            0.017469,           0.0090089,           0.0086146,              0.9372,             0.90982,              0.9069,              0.9033,            0.015889,           0.0076162,            0.005294,           0.0001981,           0.0001981,           0.0001981
                  83,            0.017132,           0.0088337,           0.0091891,             0.93807,              0.9107,             0.90674,             0.90335,            0.015841,           0.0075642,           0.0052554,           0.0001882,           0.0001882,           0.0001882
                  84,            0.018067,           0.0092161,           0.0085567,             0.93846,             0.90967,             0.90716,             0.90419,            0.015885,           0.0078613,            0.005259,           0.0001783,           0.0001783,           0.0001783
                  85,            0.018257,           0.0088051,            0.008886,             0.93808,             0.91053,             0.90706,             0.90376,            0.015891,           0.0077656,           0.0052487,           0.0001684,           0.0001684,           0.0001684
                  86,            0.017617,           0.0086545,           0.0086478,             0.93838,             0.90939,              0.9075,             0.90426,            0.015938,           0.0076862,            0.005248,           0.0001585,           0.0001585,           0.0001585
                  87,            0.017761,           0.0089069,           0.0088554,             0.94129,             0.91001,             0.90781,             0.90471,            0.015884,           0.0075909,           0.0052583,           0.0001486,           0.0001486,           0.0001486
                  88,            0.017589,            0.008627,             0.00897,             0.93816,             0.90973,             0.90743,             0.90384,            0.015893,           0.0077981,           0.0052663,           0.0001387,           0.0001387,           0.0001387
                  89,            0.017661,           0.0086562,           0.0087844,             0.93661,             0.90965,              0.9068,             0.90377,            0.015822,           0.0075762,           0.0052666,           0.0001288,           0.0001288,           0.0001288
                  90,            0.017985,           0.0089438,           0.0091141,             0.93805,             0.91067,             0.90725,             0.90426,            0.015807,           0.0074783,           0.0052503,           0.0001189,           0.0001189,           0.0001189
                  91,            0.017654,           0.0087486,           0.0084583,              0.9387,              0.9124,             0.90743,             0.90446,            0.015827,           0.0074487,           0.0052435,            0.000109,            0.000109,            0.000109
                  92,            0.017199,           0.0089223,           0.0086934,             0.93841,             0.91178,               0.908,             0.90494,            0.015823,           0.0074691,           0.0052192,            9.91e-05,            9.91e-05,            9.91e-05
                  93,            0.017573,           0.0086924,           0.0083594,              0.9381,             0.91068,             0.90786,             0.90484,             0.01577,           0.0075706,           0.0052272,            8.92e-05,            8.92e-05,            8.92e-05
                  94,            0.017496,            0.009146,           0.0087218,              0.9381,             0.90996,             0.90771,             0.90473,            0.015803,           0.0076102,           0.0052318,            7.93e-05,            7.93e-05,            7.93e-05
                  95,            0.017947,           0.0086193,           0.0083805,             0.93676,             0.90741,             0.90748,             0.90447,            0.015784,           0.0079261,           0.0052645,            6.94e-05,            6.94e-05,            6.94e-05
                  96,            0.017749,           0.0090994,           0.0085063,             0.93641,             0.90965,             0.90796,             0.90491,             0.01576,           0.0076638,           0.0052437,            5.95e-05,            5.95e-05,            5.95e-05
                  97,            0.017539,            0.008514,           0.0084089,             0.93627,             0.91099,             0.90841,             0.90539,            0.015752,           0.0075403,           0.0052299,            4.96e-05,            4.96e-05,            4.96e-05
                  98,            0.017291,           0.0087396,           0.0090891,             0.93648,             0.91068,             0.90852,              0.9054,            0.015779,           0.0075237,           0.0052139,            3.97e-05,            3.97e-05,            3.97e-05
                  99,            0.017399,           0.0091129,           0.0085993,             0.93681,             0.91068,             0.90873,             0.90571,            0.015741,           0.0075297,           0.0052142,            2.98e-05,            2.98e-05,            2.98e-05
